No.;Time;Source;Destination;Protocol;Length;Info;;;Time 1;Time 2;Delay;Delay 1;Delay 2;Jitter
1;0;192.168.1.9;131.253.33.203;TCP;54;49828  >  443 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0;;;0;2,327012;2,327012;2,301428;0,025584;-2,275844
30;2,327012;192.168.1.9;20.212.96.199;TCP;66;49835  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;2,327012;2,352596;0,025584;0,025378;0,000206;-0,025172
43;2,352596;20.212.96.199;192.168.1.9;TCP;66;443  >  49835 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM=1;;;2,352596;2,352802;0,000206;-0,000537;0,000743;0,00128
44;2,352802;192.168.1.9;20.212.96.199;TCP;54;49835  >  443 [ACK] Seq=1 Ack=1 Win=132352 Len=0;;;2,352802;2,353545;0,000743;-0,024799;0,025542;0,050341
45;2,353545;192.168.1.9;20.212.96.199;TLSv1.2;571;Client Hello;;;2,353545;2,379087;0,025542;0,025542;0;-0,025542
50;2,379087;20.212.96.199;192.168.1.9;TCP;1506;443  >  49835 [ACK] Seq=1 Ack=518 Win=525056 Len=1452 [TCP segment of a reassembled PDU];;;2,379087;2,379087;0;0;0;0
51;2,379087;20.212.96.199;192.168.1.9;TCP;1506;443  >  49835 [ACK] Seq=1453 Ack=518 Win=525056 Len=1452 [TCP segment of a reassembled PDU];;;2,379087;2,379087;0;0;0;0
52;2,379087;20.212.96.199;192.168.1.9;TCP;1506;443  >  49835 [ACK] Seq=2905 Ack=518 Win=525056 Len=1452 [TCP segment of a reassembled PDU];;;2,379087;2,379087;0;-0,000134;0,000134;0,000268
53;2,379087;20.212.96.199;192.168.1.9;TLSv1.2;1033;Server Hello, Certificate, Server Key Exchange, Server Hello Done;;;2,379087;2,379221;0,000134;-0,003053;0,003187;0,00624
54;2,379221;192.168.1.9;20.212.96.199;TCP;54;49835  >  443 [ACK] Seq=518 Ack=5336 Win=132352 Len=0;;;2,379221;2,382408;0,003187;-0,02208;0,025267;0,047347
